date,Thailand,Myanmar,Cambodia,Vietnam,P_Malaysia,Lao_PDR
2018-01-01,55,10,122,2,0,9
2018-01-02,92,7,255,6,0,16
2018-01-03,51,0,200,27,0,39
2018-01-04,38,0,163,1,0,24
2018-01-05,47,3,4,0,0,0
2018-01-06,34,14,2,0,0,15
2018-01-07,34,12,45,1,0,3
2018-01-08,31,17,44,25,0,9
2018-01-09,29,16,42,6,0,22
2018-01-10,2,22,112,7,0,4
2018-01-11,4,69,214,3,0,4
2018-01-12,64,54,494,10,0,33
2018-01-13,82,19,641,11,0,61
2018-01-14,49,5,415,18,0,36
2018-01-15,2,9,72,8,0,17
2018-01-16,50,35,77,4,0,4
2018-01-17,92,51,87,2,0,25
2018-01-18,134,20,616,28,0,85
2018-01-19,93,24,272,53,0,52
2018-01-20,40,22,271,5,0,34
2018-01-21,21,32,56,8,0,17
2018-01-22,74,71,7,9,0,20
2018-01-23,158,70,90,36,0,59
2018-01-24,128,33,75,55,0,82
2018-01-25,32,27,200,48,0,36
2018-01-26,11,44,104,10,0,10
2018-01-27,19,100,104,3,0,7
2018-01-28,84,115,52,4,0,32
2018-01-29,101,48,170,29,2,58
2018-01-30,26,18,376,43,0,13
2018-01-31,46,43,217,30,0,10
2018-02-01,71,117,313,20,0,10
2018-02-02,124,131,483,28,0,36
2018-02-03,134,56,1251,51,0,119
2018-02-04,157,21,967,86,1,103
2018-02-05,67,27,517,54,0,46
2018-02-06,67,65,186,18,0,23
2018-02-07,173,126,370,19,0,38
2018-02-08,270,71,369,26,3,83
2018-02-09,81,11,204,118,1,112
2018-02-10,75,32,109,47,0,75
2018-02-11,84,63,98,20,0,38
2018-02-12,116,154,235,7,2,32
2018-02-13,267,181,509,13,5,96
2018-02-14,230,75,682,54,1,195
2018-02-15,111,55,329,92,1,147
2018-02-16,58,106,99,28,1,57
2018-02-17,141,249,113,23,1,74
2018-02-18,166,348,147,18,8,56
2018-02-19,106,172,300,90,6,214
2018-02-20,48,120,383,135,0,284
2018-02-21,21,148,69,70,0,50
2018-02-22,13,252,52,22,1,18
2018-02-23,17,426,65,17,0,2
2018-02-24,93,276,355,65,0,52
2018-02-25,78,110,553,107,2,116
2018-02-26,36,80,398,56,0,58
2018-02-27,48,204,220,26,0,63
2018-02-28,83,282,124,4,2,102
2018-03-01,175,369,72,31,2,165
2018-03-02,128,248,189,138,2,221
2018-03-03,75,156,86,148,0,308
2018-03-04,66,308,43,90,0,251
2018-03-05,152,555,26,138,2,330
2018-03-06,301,937,114,133,1,593
2018-03-07,230,476,415,211,1,603
2018-03-08,63,368,206,154,0,328
2018-03-09,15,314,258,80,0,117
2018-03-10,57,550,193,48,0,181
2018-03-11,133,750,341,28,1,282
2018-03-12,220,482,313,86,4,334
2018-03-13,121,260,245,131,0,818
2018-03-14,42,421,71,61,1,45
2018-03-15,44,633,35,14,0,33
2018-03-16,103,704,51,20,0,59
2018-03-17,362,304,68,50,0,246
2018-03-18,174,384,136,87,4,439
2018-03-19,85,646,85,156,1,355
2018-03-20,104,1004,50,53,1,159
2018-03-21,95,1500,33,14,0,91
2018-03-22,198,1562,45,52,1,228
2018-03-23,180,812,245,93,14,702
2018-03-24,110,819,208,157,0,623
2018-03-25,40,764,90,88,0,475
2018-03-26,35,781,35,52,2,172
2018-03-27,118,1285,215,86,2,283
2018-03-28,161,853,117,98,1,238
2018-03-29,74,657,2,17,2,354
2018-03-30,34,710,43,63,0,99
2018-03-31,24,871,13,56,0,132
2018-04-01,38,1101,8,15,0,177
2018-04-02,68,1062,56,93,4,500
2018-04-03,112,803,83,154,6,724
2018-04-04,51,316,48,161,3,671
2018-04-05,17,547,16,84,0,291
2018-04-06,32,686,25,17,2,149
2018-04-07,40,608,7,31,2,2
2018-04-08,50,70,73,61,0,312
2018-04-09,57,255,114,230,2,788
2018-04-10,72,485,86,109,0,1519
2018-04-11,273,795,26,124,2,2115
2018-04-12,481,1518,26,125,3,2282
2018-04-13,272,965,20,219,7,3193
2018-04-14,128,340,30,159,0,847
2018-04-15,60,154,23,93,0,156
2018-04-16,57,368,14,17,0,33
2018-04-17,30,552,4,14,0,0
2018-04-18,106,121,7,19,0,11
2018-04-19,74,69,22,39,1,22
2018-04-20,23,59,16,55,0,26
2018-04-21,42,149,12,80,0,25
2018-04-22,109,235,15,48,0,126
2018-04-23,354,530,31,103,4,980
2018-04-24,98,440,47,139,1,1235
2018-04-25,50,235,17,70,1,185
2018-04-26,16,102,10,47,0,1
2018-04-27,12,144,5,21,0,13
2018-04-28,2,235,6,16,0,1
2018-04-29,4,36,0,7,7,0
2018-04-30,4,30,0,9,0,9
2018-05-01,1,45,2,37,0,38
2018-05-02,0,14,0,23,0,1
2018-05-03,3,20,1,14,0,0
2018-05-04,32,13,1,1,3,4
2018-05-05,11,10,18,5,0,0
2018-05-06,6,15,6,30,0,4
2018-05-07,10,12,6,17,0,47
2018-05-08,15,27,5,44,2,151
2018-05-09,28,39,2,30,4,163
2018-05-10,21,35,2,53,7,299
2018-05-11,2,25,2,67,1,94
2018-05-12,1,3,7,64,0,28
2018-05-13,1,11,4,52,2,1
2018-05-14,6,27,0,23,2,7
2018-05-15,17,27,5,22,1,9
2018-05-16,5,35,8,64,0,89
2018-05-17,2,2,6,78,0,21
2018-05-18,3,5,4,56,2,59
2018-05-19,4,11,5,22,6,15
2018-05-20,17,6,3,6,2,4
2018-05-21,7,11,5,18,6,20
2018-05-22,0,9,1,57,0,5
2018-05-23,1,3,0,29,0,29
2018-05-24,0,0,0,14,0,0
2018-05-25,3,2,0,5,1,0
2018-05-26,4,3,3,12,2,3
2018-05-27,2,0,2,24,0,0
2018-05-28,0,0,1,18,0,0
2018-05-29,0,0,0,9,0,0
2018-05-30,0,0,0,11,0,0
2018-05-31,0,0,0,4,0,1
2018-06-01,1,0,5,16,0,2
2018-06-02,0,0,0,25,0,3
2018-06-03,1,0,0,7,0,0
2018-06-04,1,0,0,1,1,0
2018-06-05,8,1,0,0,8,0
2018-06-06,2,0,0,6,9,0
2018-06-07,0,1,1,28,0,1
2018-06-08,0,0,0,39,0,1
2018-06-09,0,0,0,3,2,0
2018-06-10,0,0,1,0,5,0
2018-06-11,0,0,0,0,0,0
2018-06-12,0,0,0,2,3,0
2018-06-13,0,0,5,2,0,0
2018-06-14,0,0,0,4,3,0
2018-06-15,1,0,2,0,1,0
2018-06-16,1,0,1,0,0,0
2018-06-17,0,0,7,3,0,0
2018-06-18,0,0,1,9,0,0
2018-06-19,0,0,0,5,0,0
2018-06-20,0,0,0,1,0,0
2018-06-21,1,0,4,8,1,0
2018-06-22,0,0,12,17,0,0
2018-06-23,0,0,6,18,0,0
2018-06-24,0,0,3,14,0,0
2018-06-25,0,0,0,0,0,0
2018-06-26,0,0,0,0,0,0
2018-06-27,0,0,0,2,2,0
2018-06-28,0,0,0,30,0,0
2018-06-29,1,0,0,18,0,0
2018-06-30,0,0,1,19,0,0
2018-07-01,1,0,9,9,0,0
2018-07-02,10,0,20,14,0,0
2018-07-03,2,0,25,19,0,0
2018-07-04,0,0,18,51,0,0
2018-07-05,0,1,0,7,0,0
2018-07-06,0,0,0,7,0,0
2018-07-07,0,0,2,0,3,0
2018-07-08,0,0,0,2,6,0
2018-07-09,2,0,4,5,0,0
2018-07-10,0,0,0,6,0,0
2018-07-11,0,0,0,0,0,0
2018-07-12,1,0,0,0,0,0
2018-07-13,0,0,0,0,3,0
2018-07-14,0,0,0,1,0,0
2018-07-15,0,0,0,0,6,0
2018-07-16,0,1,0,0,9,0
2018-07-17,0,0,0,0,7,0
2018-07-18,0,0,0,0,4,0
2018-07-19,0,1,0,0,15,0
2018-07-20,0,0,0,1,0,0
2018-07-21,0,0,0,1,0,0
2018-07-22,0,0,0,0,15,0
2018-07-23,0,0,1,0,10,0
2018-07-24,0,0,0,3,4,0
2018-07-25,0,0,3,6,0,0
2018-07-26,0,0,0,2,0,0
2018-07-27,0,0,0,0,0,0
2018-07-28,0,0,0,1,2,0
2018-07-29,0,0,1,7,1,0
2018-07-30,0,0,0,14,0,0
2018-07-31,0,0,0,9,0,0
2018-08-01,1,0,1,23,0,0
2018-08-02,3,0,0,2,0,0
2018-08-03,0,0,2,5,5,0
2018-08-04,6,0,3,9,0,0
2018-08-05,0,0,1,18,1,0
2018-08-06,0,0,0,3,0,0
2018-08-07,6,0,0,1,0,0
2018-08-08,5,0,0,1,0,0
2018-08-09,0,0,0,1,0,0
2018-08-10,0,0,0,1,0,0
2018-08-11,0,0,0,2,3,0
2018-08-12,0,0,0,0,11,0
2018-08-13,0,0,0,0,30,0
2018-08-14,0,0,0,0,18,0
2018-08-15,0,0,2,0,2,0
2018-08-16,0,0,0,2,0,0
2018-08-17,1,0,0,13,2,0
2018-08-18,1,0,0,1,2,0
2018-08-19,0,0,0,0,5,0
2018-08-20,0,0,0,4,2,0
2018-08-21,0,0,0,18,0,0
2018-08-22,0,0,0,3,0,0
2018-08-23,0,0,0,0,0,0
2018-08-24,0,0,0,1,7,0
2018-08-25,0,0,0,0,12,0
2018-08-26,0,0,0,1,2,0
2018-08-27,0,0,0,1,0,0
2018-08-28,0,0,0,0,0,0
2018-08-29,4,0,0,1,3,0
2018-08-30,1,0,0,5,11,0
2018-08-31,2,0,2,24,1,0
2018-09-01,0,0,1,23,0,0
2018-09-02,0,0,0,16,0,0
2018-09-03,0,0,0,3,0,0
2018-09-04,2,0,0,3,3,0
2018-09-05,0,0,0,9,1,0
2018-09-06,0,0,1,30,0,0
2018-09-07,1,0,0,23,1,0
2018-09-08,0,0,0,10,0,0
2018-09-09,11,0,0,0,1,0
2018-09-10,2,0,0,2,1,0
2018-09-11,3,0,0,9,0,0
2018-09-12,0,0,0,10,0,0
2018-09-13,0,0,0,0,0,0
2018-09-14,0,1,0,0,0,0
2018-09-15,3,0,0,0,1,0
2018-09-16,0,1,0,15,0,0
2018-09-17,0,1,0,6,0,0
2018-09-18,0,0,0,1,0,0
2018-09-19,0,0,0,0,0,0
2018-09-20,5,0,1,1,0,0
2018-09-21,3,0,0,6,0,0
2018-09-22,0,0,0,4,0,1
2018-09-23,0,0,0,0,1,0
2018-09-24,0,1,0,3,1,0
2018-09-25,9,1,0,4,9,0
2018-09-26,9,0,1,14,6,0
2018-09-27,1,0,2,66,3,0
2018-09-28,0,0,0,10,1,0
2018-09-29,1,0,0,3,0,0
2018-09-30,1,0,0,0,17,0
2018-10-01,1,0,1,0,11,0
2018-10-02,0,0,1,7,6,0
2018-10-03,1,0,0,5,0,0
2018-10-04,0,0,0,0,0,0
2018-10-05,2,0,0,0,0,2
2018-10-06,4,0,1,7,0,3
2018-10-07,1,0,2,41,2,2
2018-10-08,1,0,0,39,0,4
2018-10-09,0,0,0,20,0,4
2018-10-10,1,0,0,3,0,0
2018-10-11,6,0,0,1,0,0
2018-10-12,3,0,5,1,0,1
2018-10-13,0,0,3,8,0,2
2018-10-14,0,0,4,5,0,1
2018-10-15,0,0,0,0,0,0
2018-10-16,8,1,0,0,0,0
2018-10-17,14,0,0,5,5,0
2018-10-18,1,3,0,23,0,1
2018-10-19,0,0,0,2,0,0
2018-10-20,0,0,0,0,0,0
2018-10-21,0,0,0,0,0,0
2018-10-22,1,3,0,1,4,0
2018-10-23,2,0,1,14,0,1
2018-10-24,0,0,0,4,0,1
2018-10-25,0,0,0,4,0,1
2018-10-26,1,0,0,3,0,0
2018-10-27,1,0,1,0,2,1
2018-10-28,3,0,4,4,0,3
2018-10-29,1,0,3,4,0,6
2018-10-30,0,0,1,5,0,7
2018-10-31,2,1,0,7,0,1
2018-11-01,10,6,0,2,0,2
2018-11-02,15,5,14,37,0,2
2018-11-03,3,0,7,44,0,7
2018-11-04,0,0,1,24,0,2
2018-11-05,1,3,0,2,0,1
2018-11-06,2,11,2,1,0,0
2018-11-07,8,4,1,2,1,2
2018-11-08,5,2,0,4,1,0
2018-11-09,0,0,3,2,0,0
2018-11-10,0,0,1,0,0,0
2018-11-11,0,1,0,1,0,0
2018-11-12,14,6,1,1,1,0
2018-11-13,5,1,4,5,0,0
2018-11-14,1,0,4,13,0,1
2018-11-15,4,3,1,6,0,0
2018-11-16,3,19,3,2,0,0
2018-11-17,31,34,1,3,0,1
2018-11-18,21,7,7,2,0,2
2018-11-19,9,1,6,4,0,6
2018-11-20,1,1,12,1,0,2
2018-11-21,7,8,17,6,0,4
2018-11-22,14,36,18,1,0,2
2018-11-23,46,14,15,1,3,4
2018-11-24,27,1,17,3,1,10
2018-11-25,16,0,4,5,0,1
2018-11-26,1,8,0,2,0,1
2018-11-27,24,43,0,1,0,0
2018-11-28,28,24,8,11,0,2
2018-11-29,30,8,14,17,0,8
2018-11-30,18,4,11,16,0,3
2018-12-01,2,6,23,4,0,3
2018-12-02,36,31,22,7,0,5
2018-12-03,103,21,16,2,0,3
2018-12-04,101,35,68,21,0,17
2018-12-05,56,9,49,45,0,13
2018-12-06,27,9,51,7,0,5
2018-12-07,4,5,0,0,0,0
2018-12-08,0,43,1,0,0,0
2018-12-09,11,24,27,0,0,0
2018-12-10,25,4,86,11,0,6
2018-12-11,16,2,86,2,0,7
2018-12-12,1,5,51,7,0,2
2018-12-13,43,14,60,0,0,4
2018-12-14,114,13,237,0,0,11
2018-12-15,89,8,119,7,0,10
2018-12-16,63,4,252,7,0,17
2018-12-17,28,22,141,9,0,4
2018-12-18,41,45,143,10,0,3
2018-12-19,128,25,252,1,0,13
2018-12-20,129,3,296,18,0,22
2018-12-21,74,3,183,43,0,23
2018-12-22,30,16,157,17,0,16
2018-12-23,20,38,73,0,0,1
2018-12-24,58,84,201,1,0,15
2018-12-25,151,29,268,16,0,27
2018-12-26,74,8,293,45,0,32
2018-12-27,30,14,41,4,0,8
2018-12-28,13,32,3,0,0,3
2018-12-29,1,54,0,0,2,0
2018-12-30,16,41,103,0,2,10
2018-12-31,119,19,474,0,1,9
2019-01-01,100,71,165,0,1,8
2019-01-02,189,48,98,0,0,14
2019-01-03,57,10,282,7,0,21
2019-01-04,3,19,371,4,2,34
2019-01-05,2,33,191,16,0,14
2019-01-06,16,85,173,3,0,7
2019-01-07,108,13,702,33,1,37
2019-01-08,79,1,602,14,0,58
2019-01-09,27,3,387,18,0,32
2019-01-10,21,7,181,6,0,22
2019-01-11,11,25,172,2,0,17
2019-01-12,90,23,267,4,1,26
2019-01-13,197,14,947,24,2,37
2019-01-14,80,16,737,75,1,55
2019-01-15,43,21,331,19,0,29
2019-01-16,60,60,95,2,0,9
2019-01-17,114,77,189,1,0,17
2019-01-18,176,53,588,8,0,36
2019-01-19,60,16,715,20,1,64
2019-01-20,92,11,392,8,0,55
2019-01-21,60,30,110,9,0,31
2019-01-22,115,51,157,2,0,22
2019-01-23,238,73,319,5,3,46
2019-01-24,247,39,918,71,1,98
2019-01-25,152,20,428,60,0,69
2019-01-26,105,53,198,5,0,26
2019-01-27,110,79,204,12,1,24
2019-01-28,281,114,281,34,0,49
2019-01-29,261,26,640,49,3,126
2019-01-30,105,14,329,57,0,82
2019-01-31,89,25,153,35,0,44
2019-02-01,90,77,167,32,0,41
2019-02-02,185,170,234,12,0,61
2019-02-03,297,108,250,41,3,137
2019-02-04,165,43,136,46,2,147
2019-02-05,95,52,87,18,0,127
2019-02-06,115,113,41,31,1,46
2019-02-07,177,204,89,43,2,112
2019-02-08,484,219,177,128,12,209
2019-02-09,409,66,233,201,4,335
2019-02-10,185,29,184,160,1,167
2019-02-11,62,52,194,73,2,49
2019-02-12,101,224,241,16,8,135
2019-02-13,194,320,318,51,2,135
2019-02-14,246,155,356,90,11,318
2019-02-15,103,71,359,171,3,215
2019-02-16,51,125,160,66,1,111
2019-02-17,54,267,50,27,5,35
2019-02-18,150,345,98,17,2,17
2019-02-19,267,193,294,59,0,185
2019-02-20,128,87,93,125,1,207
2019-02-21,79,95,78,107,6,143
2019-02-22,120,222,48,30,9,110
2019-02-23,216,478,100,80,12,232
2019-02-24,417,434,177,105,34,271
2019-02-25,210,158,309,154,21,361
2019-02-26,63,88,313,137,2,335
2019-02-27,47,126,161,75,0,193
2019-02-28,109,248,127,46,3,306
2019-03-01,170,550,135,63,6,207
2019-03-02,228,296,216,164,9,566
2019-03-03,90,143,174,225,5,426
2019-03-04,72,234,121,129,0,236
2019-03-05,157,296,125,89,3,305
2019-03-06,469,260,220,85,8,427
2019-03-07,508,95,473,122,13,833
2019-03-08,185,12,268,170,13,459
2019-03-09,220,247,170,105,7,717
2019-03-10,192,468,59,52,9,698
2019-03-11,434,897,277,112,1,789
