date_time,wind speed,wind dir
2018-01-01 01:00,14,90
2018-01-01 04:00,13,85
2018-01-01 07:00,12,85
2018-01-01 10:00,12,75
2018-01-01 13:00,9,70
2018-01-01 16:00,8,75
2018-01-01 19:00,12,105
2018-01-01 22:00,14,105
2018-01-02 01:00,17,85
2018-01-02 04:00,18,85
2018-01-02 07:00,22,85
2018-01-02 10:00,20,75
2018-01-02 13:00,14,70
2018-01-02 16:00,10,75
2018-01-02 19:00,13,115
2018-01-02 22:00,14,105
2018-01-03 01:00,16,100
2018-01-03 04:00,16,120
2018-01-03 07:00,16,120
2018-01-03 10:00,14,100
2018-01-03 13:00,6,85
2018-01-03 16:00,6,75
2018-01-03 19:00,12,125
2018-01-03 22:00,15,130
2018-01-04 01:00,8,105
2018-01-04 04:00,9,75
2018-01-04 07:00,4,85
2018-01-04 10:00,5,55
2018-01-04 13:00,3,75
2018-01-04 16:00,4,15
2018-01-04 19:00,5,55
2018-01-04 22:00,7,80
2018-01-05 01:00,9,85
2018-01-05 04:00,12,65
2018-01-05 07:00,16,75
2018-01-05 10:00,13,80
2018-01-05 13:00,8,105
2018-01-05 16:00,6,110
2018-01-05 19:00,7,120
2018-01-05 22:00,10,105
2018-01-06 01:00,16,105
2018-01-06 04:00,19,115
2018-01-06 07:00,13,100
2018-01-06 10:00,15,105
2018-01-06 13:00,11,110
2018-01-06 16:00,5,130
2018-01-06 19:00,7,110
2018-01-06 22:00,8,75
2018-01-07 01:00,7,105
2018-01-07 04:00,7,125
2018-01-07 07:00,18,140
2018-01-07 10:00,22,160
2018-01-07 13:00,18,175
2018-01-07 16:00,15,170
2018-01-07 19:00,16,165
2018-01-07 22:00,17,170
2018-01-08 01:00,24,160
2018-01-08 04:00,22,160
2018-01-08 07:00,24,150
2018-01-08 10:00,20,150
2018-01-08 13:00,10,155
2018-01-08 16:00,6,180
2018-01-08 19:00,5,70
2018-01-08 22:00,9,80
2018-01-09 01:00,9,95
2018-01-09 04:00,11,85
2018-01-09 07:00,20,95
2018-01-09 10:00,25,95
2018-01-09 13:00,10,95
2018-01-09 16:00,5,70
2018-01-09 19:00,9,110
2018-01-09 22:00,7,75
2018-01-10 01:00,6,10
2018-01-10 04:00,6,20
2018-01-10 07:00,5,130
2018-01-10 10:00,8,120
2018-01-10 13:00,10,5
2018-01-10 16:00,9,60
2018-01-10 19:00,4,170
2018-01-10 22:00,5,285
2018-01-11 01:00,12,115
2018-01-11 04:00,16,105
2018-01-11 07:00,16,95
2018-01-11 10:00,15,90
2018-01-11 13:00,18,80
2018-01-11 16:00,16,80
2018-01-11 19:00,18,110
