date,time,CO,O3,NO2,SO2 ,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
170101,100,-,-,-,-,-,-,-,-,-,
170101,200,-,-,-,-,-,-,-,-,-,
170101,300,-,-,-,-,-,-,-,-,-,
170101,400,-,-,-,-,-,-,-,-,-,
170101,500,-,-,-,-,-,-,-,-,-,
170101,600,-,-,-,-,-,-,-,-,-,
170101,700,-,-,-,-,-,-,-,-,-,
170101,800,-,-,-,-,-,-,-,-,-,
170101,900,-,-,-,-,-,-,-,-,-,
170101,1000,-,-,-,-,-,-,-,-,-,
170101,1100,-,-,-,-,-,-,-,-,-,
170101,1200,-,-,-,-,-,-,-,-,-,
170101,1300,-,-,-,-,-,-,-,-,-,
170101,1400,-,-,-,-,-,-,-,-,-,
170101,1500,-,-,-,-,-,-,-,-,-,
170101,1600,-,-,-,-,-,-,-,-,-,
170101,1700,-,-,-,-,-,-,-,-,-,
170101,1800,-,-,-,-,-,-,-,-,-,
170101,1900,-,-,-,-,-,-,-,-,-,
170101,2000,-,-,-,-,-,-,-,-,-,
170101,2100,-,-,-,-,-,-,-,-,-,
170101,2200,-,-,-,-,-,-,-,-,-,
170101,2300,-,-,-,-,-,-,-,-,-,
170101,2400,-,-,-,-,-,-,-,-,-,
170102,100,-,-,-,-,-,-,-,-,-,
170102,200,-,-,-,-,-,-,-,-,-,
170102,300,-,-,-,-,-,-,-,-,-,
170102,400,-,-,-,-,-,-,-,-,-,
170102,500,-,-,-,-,-,-,-,-,-,
170102,600,-,-,-,-,-,-,-,-,-,
170102,700,-,-,-,-,-,-,-,-,-,
170102,800,-,-,-,-,-,-,-,-,-,
170102,900,-,-,-,-,-,-,-,-,-,
170102,1000,-,-,-,-,-,-,-,-,-,
170102,1100,-,-,-,-,-,-,-,-,-,
170102,1200,-,-,-,-,-,-,-,-,-,
170102,1300,-,-,-,-,-,-,-,-,-,
170102,1400,-,-,-,-,-,-,-,-,-,
170102,1500,-,-,-,-,-,-,-,-,-,
170102,1600,-,-,-,-,-,-,-,-,-,
170102,1700,-,-,-,-,-,-,-,-,-,
170102,1800,-,-,-,-,-,-,-,-,-,
170102,1900,-,-,-,-,-,-,-,-,-,
170102,2000,-,-,-,-,-,-,-,-,-,
170102,2100,-,-,-,-,-,-,-,-,-,
170102,2200,-,-,-,-,-,-,-,-,-,
170102,2300,-,-,-,-,-,-,-,-,-,
170102,2400,-,-,-,-,-,-,-,-,-,
170103,100,-,-,-,-,-,-,-,-,-,
170103,200,-,-,-,-,-,-,-,-,-,
170103,300,-,-,-,-,-,-,-,-,-,
170103,400,-,-,-,-,-,-,-,-,-,
170103,500,-,-,-,-,-,-,-,-,-,
170103,600,-,-,-,-,-,-,-,-,-,
170103,700,-,-,-,-,-,-,-,-,-,
170103,800,-,-,-,-,-,-,-,-,-,
170103,900,-,-,-,-,-,-,-,-,-,
170103,1000,-,-,-,-,-,-,-,-,-,
170103,1100,-,-,-,-,-,-,-,-,-,
170103,1200,-,-,-,-,-,-,-,-,-,
170103,1300,-,-,-,-,-,-,-,-,-,
170103,1400,-,-,-,-,-,-,-,-,-,
170103,1500,-,-,-,-,-,-,-,-,-,
170103,1600,-,-,-,-,-,-,-,-,-,
170103,1700,-,-,-,-,-,-,-,-,-,
170103,1800,-,-,-,-,-,-,-,-,-,
170103,1900,-,-,-,-,-,-,-,-,-,
170103,2000,-,-,-,-,-,-,-,-,-,
170103,2100,-,-,-,-,-,-,-,-,-,
170103,2200,-,-,-,-,-,-,-,-,-,
170103,2300,-,-,-,-,-,-,-,-,-,
170103,2400,-,-,-,-,-,-,-,-,-,
170104,100,-,-,-,-,-,-,-,-,-,
170104,200,-,-,-,-,-,-,-,-,-,
170104,300,-,-,-,-,-,-,-,-,-,
170104,400,-,-,-,-,-,-,-,-,-,
170104,500,-,-,-,-,-,-,-,-,-,
170104,600,-,-,-,-,-,-,-,-,-,
170104,700,-,-,-,-,-,-,-,-,-,
170104,800,-,-,-,-,-,-,-,-,-,
170104,900,-,-,-,-,-,-,-,-,-,
170104,1000,-,-,-,-,-,-,-,-,-,
170104,1100,-,-,-,-,-,-,-,-,-,
170104,1200,-,-,-,-,-,-,-,-,-,
170104,1300,-,-,-,-,-,-,-,-,-,
170104,1400,-,-,-,-,-,-,-,-,-,
170104,1500,-,-,-,-,-,-,-,-,-,
170104,1600,-,-,-,-,-,-,-,-,-,
170104,1700,-,-,-,-,-,-,-,-,-,
170104,1800,-,-,-,-,-,-,-,-,-,
170104,1900,-,-,-,-,-,-,-,-,-,
170104,2000,-,-,-,-,-,-,-,-,-,
170104,2100,-,-,-,-,-,-,-,-,-,
170104,2200,-,-,-,-,-,-,-,-,-,
170104,2300,-,-,-,-,-,-,-,-,-,
170104,2400,-,-,-,-,-,-,-,-,-,
170105,100,-,-,-,-,-,-,-,-,-,
170105,200,-,-,-,-,-,-,-,-,-,
170105,300,-,-,-,-,-,-,-,-,-,
170105,400,-,-,-,-,-,-,-,-,-,
170105,500,-,-,-,-,-,-,-,-,-,
170105,600,-,-,-,-,-,-,-,-,-,
170105,700,-,-,-,-,-,-,-,-,-,
170105,800,-,-,-,-,-,-,-,-,-,
170105,900,-,-,-,-,-,-,-,-,-,
170105,1000,-,-,-,-,-,-,-,-,-,
170105,1100,1.3,12,33,-,-,41,30,32,1.5,
170105,1200,0.4,24,34,-,-,41,31.1,14,1.5,
170105,1300,0.4,28,39,-,-,41,31.7,76,2,
170105,1400,0.3,29,28,-,-,40,32,66,2.2,
170105,1500,0.3,28,30,-,-,41,32.1,49,2.3,
170105,1600,0.4,28,33,-,-,41,32.3,23,2.4,
170105,1700,0.4,28,32,-,-,41,32.2,44,2.4,
170105,1800,0.6,25,44,-,-,41,30.9,47,2,
170105,1900,0.6,15,47,-,-,41,30.4,43,1.9,
170105,2000,0.5,17,35,-,-,40,29.3,255,1.5,
170105,2100,0.5,14,29,-,-,38,27.7,32,1.3,
170105,2200,0.4,15,23,-,-,40,27.8,133,1.8,
170105,2300,0.4,10,27,-,-,41,27.7,177,1.9,
170105,2400,0.4,7,30,-,-,41,27.7,69,1.9,
170106,100,0.3,8,26,-,-,41,27.6,11,1.7,
170106,200,0.3,9,22,-,-,41,27.5,325,2.3,
170106,300,0.3,8,21,-,-,41,27.3,21,1.8,
170106,400,0.3,8,18,-,-,41,26.7,44,2.3,
170106,500,0.3,8,18,-,-,41,26.2,34,2.7,
170106,600,0.3,6,23,-,-,41,26.3,49,2.5,
170106,700,0.5,5,30,-,-,41,26.4,26,1.8,
170106,800,0.7,3,31,-,-,41,26.5,45,1.2,
170106,900,0.9,3,35,-,-,41,27.1,29,1.6,
170106,1000,0.8,5,37,-,-,41,27.6,33,1.6,
170106,1100,0.7,6,38,-,-,41,28,24,1.7,
170106,1200,0.6,16,35,-,-,41,29.1,270,1.8,
170106,1300,0.4,29,29,-,-,41,30.9,125,2.3,
170106,1400,0.4,30,36,-,-,41,30.9,155,1.8,
170106,1500,0.4,25,33,-,-,41,30.9,78,1.7,
170106,1600,0.5,28,34,-,-,41,30.3,236,1.8,
170106,1700,0.5,27,38,-,-,41,30,280,2,
170106,1800,0.5,27,32,-,-,41,29.7,347,1.5,
170106,1900,0.5,22,32,-,-,41,29.2,71,1.2,
170106,2000,0.5,13,38,-,-,41,28.8,338,1.1,
170106,2100,0.5,14,33,-,-,41,28.4,252,1.6,
170106,2200,0.5,13,31,-,-,41,28.1,11,1.6,
170106,2300,0.4,13,28,-,-,41,27.9,319,1.4,
170106,2400,0.4,10,31,-,-,41,27.8,337,1.1,
170107,100,0.4,7,33,-,-,41,27.8,34,1.3,
170107,200,0.4,6,32,-,-,41,27.8,328,1.1,
170107,300,0.4,5,31,-,-,41,27.8,66,1,
170107,400,0.4,5,31,-,-,41,27.7,49,0.7,
170107,500,0.4,5,30,-,-,41,27.5,63,1.2,
170107,600,0.4,7,26,-,-,41,27.3,11,1.8,
170107,700,0.4,4,29,-,-,41,27.1,54,1.8,
170107,800,0.5,3,29,-,-,41,27,16,1.3,
170107,900,0.6,4,29,-,-,41,27.5,59,1.6,
170107,1000,0.6,6,34,-,-,41,28.3,40,1.6,
170107,1100,0.6,15,35,-,-,41,29.8,3,1.8,
